text,label
"bình luận toàn bọn tiêu chuẩn kép, đéo ai đụng vào mình mà cứ vô nói điện thoại nặng, dùng nokia đi",1
ngã thế mà không vic gì,0
những tình trạng đua xe nên tịch thu xe tốt cả 2 một thì không gây tai nạn cho người khác hai là bản thân của nó không chết,0
ô mai gót tộ,0
"<person> khổ vãi cả lồn, đuổi thì kêu nguy hiểm cho người đi đường, sao không quay lại biển số rồi phạt nguội d mày giờ động vào bọn này mà dân đéo khóc lóc kêu gào xem, 1 nốt nhạc là cút hết d mày nhà chúng mày tiêu chuẩn kép, công an việt nam khổ vãi lồn làm cái lồn gì cũng bị chúng mày chửi",1
<person> thay phiên,0
má cái bọn bắc kỳ vô văn hóa thật,2
nhốt nó càng lâu càng tốt để nó ở ngoài xã hội mới ngụy hiểm,0
"sống chung mệt mỏi quá , áp lực quá, chịu không nổi thì chia tay",0
tử hình nhé chia rẽ tinh thần dân tộc thách thức cả dân miền nam,2
bộ phim đấu kiếm bắt đầu khởi chiếu. cho bọn con gái ế hết,0
"thấy em nó khóc tội thật, hay giảm 1/2 cho em nó đi !",0
<person> nghe thấy tiếng rú cái tấp vào lề luôn nhường cái bố đời chán sống hết,1
mv nặng đô nhất năm,2
<person> không dính máu thì dính cứt cũng xong,1
tôi không phe ai hết tôi phe gió,0
Có người nó không dám manh động chứ lôi về được cái xác định với nó .cách cư xử lôi kéo của nó là đủ hiểu.,0
"<person> gọi bình thường thôi chúng tôi không xồn xồn đâu mà phải ""nam kỳ""",0
đúng xàm lồn,1
"khổ có con chém chép mà giõ khổ, bên kia thì khúc cây mà bất cứ ai cũng phải điêu đứng , chỉ vì thích lạ và ss, chồng con vợ bỏ hết thời nay sao họ không còn chung thuỷ như xưa, trách nhiệm với con cái tệ bạc , mả bây giờ con cái vợ chồng sao sao , thấy thời này sợ thật, giám đốc có học hay không đều vướng hết , không biết về sau mình sao nữa không biết có vượt được các chướng ngại của điện thoại vuốt không nữa.",0
mở quán bán được mà có bịt rác trả tiền không nỗi thật là tội nghiệp,0
đừng có làm liều nhé mày <person>,0
sợ nó không quay mà nó ăn luôn nguyên cái trường quay,2
mày coi xin lỗi ba mẹ mày kìa công nuôi cực khổ xin lỗi cộng đồng mạng giờ đã muộn rồi,2
"2 thằng lệnh bê đê, có gì mà xem.",2
còn không có gương hậu kìa,0
mất văn hóa,0
"những cái cần tăng nặng mức phạt đây này,",0
mong chú cảnh sát sớm hồi phục và khỏe mạnh .,0
đéo có ý thức là gì vứt rác bừa bãi,1
​ <user> ê nhé bữa xe tăng cũng bị tông nhé xe vin nó tông nhé không nên giờ đi xe vin đi anh vượn bao,0
"sao chúng mày không lao xuống sông chết mẹ chúng mày hết đi, chứ ra đường thì người khác lại gặp họa",2
mày lại lôi trà bông để bú fame?,2
<person> thua ông địa mỗi cái quạt,0
sao em gái không mặc váy nhỉ,0
<person> chuẩn không giúp thì mình im lặng để ai giúp được họ giúp mấy người hay soi mói đa số không làm,0
thấy chữ phở hà nội không,0
sao mày đéo chết luôn đi,2
<person> không đánh giá cao điều đó,0
"bon chó chết, cho chết hết đi",2
những thằng này khó chết lắm. người đứng chờ đèn đỏ lại bị xe tông chết.,2
vậy mà còn quay lại đăng lên nữa chứ thưa,0
con giap thu 13 duoc them vao chinh la con voi,2
<person> chắc tính thả sad nhưng lộn,0
rất cảm động đến khóc luôn vì 2 gia đình rất tuyệt vời,0
địt mẹ hưng yên giờ lắm chó thế,2
địt mẹ hưng yên giờ lắm chó thế,2
đừng dắt mũi dư luận nữa,0
chạy chậm bỏ mẹ tao mà chạy thì phải 500km/h mới đủ phê,1
một con người vô liêm sỉ rồi thiên tai lũ lụt ngập vào mồm mày đề nghi gửi lên co quan pháp luật xử lý nghiêm thằng này cho nó đi cải tạo đạo đức,1
tuổi này khó dạy lắm con cháu sau này nó sẽ nôi theo,0
quy vào tội khủng bố . biết mấy ông thông chốt vào đấy đánh bom thì sao,0
ngoại tình là sai,0
cái cách sống như mày không cần phải xin lời chỉ mong có quan pháp luật cho mày ra khỏi đời sống trong xã hội này để cho người khác thấy mà biết sợ,1
ai chấp nhận lời xin lỗi đó đâu tự vì bản chất là bản chất nếu không có công an đến thì cũng không có biết lỗi của mình đâu con người thoát ra lời nói là tự cái tâm mà tâm mình không có thì lời nói đó không bao giờ là thật lòng đâu lúc hoạn nạn thì nói như vậy mong em trai đổi lại cái tâm của mình một tâm thiện thì không thể nào thúc ra lời nói như vậy được không cần em lên xin lỗi nhưng chỉ cần em đổi lại cái tâm của mình tâm thiện thì em sẽ hưởng được phước chứ còn xin lỗi ngàn lần đi nữa cái bản chất của mình không thay đổi thì cũng bằng là con số 0,0
"<user> ủa bạn nếu vậy là phân biệt vùng miền con mẹ nó rồi. thôi mệt quá hôm nhắn hơn trăm dòng giải thích cho bạn mà hệ thống con cặc của youtube xáo mẹ rồi nên nói tóm tắt luôn ý mình là sách giáo khoa xưa lúc đó là thời kì lịch sử nên việc xưng bắc kỳ, nam kỳ, trung kỳ là chuyện bình thường. nhưng đến thế hệ trẩu này đã lạm dụng , nên việc sử dụng từ đó không còn văn minh lịch sự nữa ! bạn có thể sử dụng bắc kỳ  nhưng trong trường hợp như đang học hoặc trò chuyện và giới thiệu với nhau . nhưng nếu là drama gì đó mà bạn dùng từ đó là hơi vui à . vậy thôi bye",1
cái bản tính muôn đời không đổi của dân ngoài vĩ tuyến 17.,2
giơ tay 2 ngón là 2 tỷ à,0
chị vợ ngoại tình cái lồn là sai nhưng phải có gì đó đánh đập chị vợ mới quá sợ không giám về,1
<person> nhìn mặt lớn tuổi thở ra câu ngu vãi cả lồn,1
gì nữa vậy trời,0
"nghe tiếng nói là không ưa , loại này người người cần tẩy chay",0
không bằng quốc kang,0
chạy sh xe không kính nữa chắc girl phố rồi,0
hạnh phúc 2 em nhẽ,0
gửi clip này cho công an  giao thông điều tra để xử phạt vì phạm pháp luật !,0
loại óc gì thế,1
"thế mà không có thằng nào ngoại tuyến luôn à thích nhất xem bọn này xoè mà có vài đứa tiết canh bắn tung toé người giật giật , có mấy bà hảo tâm đắp cho cái chiếu để chờ gia đình các cháu đến nhận",2
quá dã man,0
chịu đấy,0
""" đi xem đấu kiếm "" . địt mẹ cứ lan rộng thì hỏng 1 thế hệ",1
<person> nam là một dân tộc việt nam là một,0
nên có tấm lưới bắt người vừa an toàn vừa hiệu quả,0
xin lỗi gì mày đã làm sứt mẻ đến tình cảm của hai miền Nam Bắc rồi,0
làm đéo gì phải nhục vậy,1
cười vãi lòn,1
địt mẹ mua cốc xoài dầm 50k đúng 3-4 chị chọc,1
"xin lỗi hôm nay , ngay mai nói tiếp phải không con",0
sao không ý thức vậy thía,0
mở bát đầu năm,0
phim như lồn,1
đưa cho nó giữ đi con ngày mai mốt nó lấy trai an ăn đồ ngu đi diễn thì làm thằng khờ thằng khùng để kiếm tiền đưa cho gái giữ,1
sao không đưa tên quán nó luôn,0
<person>  lại còn 2k6,0
vãi cả lồn mv nặng,1
tưởng bà cô hoá ra bà mẹ giết à,0
tiktok kiếm chưa đủ à đồ ngu,1
<person> chứ không phải mày ngu à con chó này,1
cho bọn ăn cơm này đi đảo hoang,0
vô tới trong nam mà vẫn không tốt lên được à,2
mời thằng tài năng x quốc kang nữa,0
móe nhục mặt 89 quá,1
<person> thế thì bảo nhà nước cấm hết cả xe trên 50cc bà mới vừa lòng,0
không thể xem nhẹ cái mv này,0
nên đổi thành body shasimi nhé,0
"<person> đó là suy nghĩ của những người thiện cẩn thôi, còn xã hội tôi gặp không ít những thằng khốn nạn đóng vai nạn nhân như vậy đâu , nó diễn cho thiên hạ xem rồi đồng cảm thôi, chỉ cần tắt máy quay hay về nhà nó hành cho chết không chết được sống cũng khổ . xã hội nhiều kẻ diễn còn hay hơn diễn viên đóng phim kìa bạn",0
"bốc lich nhiều năm vào, xin lổi thừa rồi nhốc",0
ghét cái đứa không làm được nhưng hay nói,0
"sao không phạt những người xã rác xuống đường, để cho người phương tây họ không có lý do gọi thủng rác hình chữ s",0
ai nói sao chứ tôi thấy bà nhân tốt hơn rất nhiều người,0
các ông ném rồi cui thế nó hoảng nó chẳng chạy.,0
đúng mấy thằng khối phân lớn này nên tử hình,2
thằng chó này. làm bẩn cả xã hội.,1
"<person> cùng hệ cũng được, ai muốn sống sao tuỳ, đừng rình rang là được.",0
đủ wow rồi đó ba,0
mấy con lợn con chết sớm thôi,2
chửi ngọt như mía lùi giờ xin lỗi ca bap cái miệng vậy khóc la gì mà chi vô tu ăn cơm tu mới biết thế nào là lễ độ thôi,0
mọi người cũng dừng trách móc và lên án cay nghiệt như vậy. loài súc vật thì có bịt đâu. chúng ta nên tha thứ bao dung.,1
một hành động thiếu suy nghĩ có thể dẫn đến sự phá sản của quán. tai hại lắm.,0
cái địt con mẹ,1
thằng này quê hưng yên 2 ( biển 17 ) nhé,0
"thằng này không ra gì,",0
lớp trẻ tụi nó lên rồi coi vậy làm gương à,0
lúc chửi ngọt lắm mà giờ xin lỗi thì ấp anh ấp úng.,0
tôi đi nôn đây,0
<person> cỡ này phải hơn 150,2
tôi lướt tik tok mà thấy thằng nào đăng video bắc kỳ là chặn hết,2
<person> ly trà tắc 50k,0
lgbt làm loạn rồi không biét thế hệ trẻ sẽ ra sao,0
úi vậy bạn bình thường hàn lại cổng không hay chỉ bình thường chốn sau cái màn hình mà xuyên tạc lịch sử,0
té xong thằng chó nào đẩy bố,1
phe nào đông ta theo nhé,0
<person> có chắc ba mẹ tự hào về thể loại mày không đấy nhìn quả avata là biết bẩn bẩn rồi lại còn lẩu gà thì đỡ thế đéo nào được,2
<person> có tiền là đầy liền,0
"<person> please, bạn đang nói như kiểu vì có những kẻ dít người, mà yêu cầu nhà nước cấm dao vậy. xe phân khối lớn hay con dao thì nó vẫn là một món vật vô tri mà thôi, vấn đề mấu chốt vẫn nằm ở mục đích và cách thức sử dụng của người sở hữu chúng, chứ không thể vì một vụ việc tiêu cực mà biến một món vật làm con dê gánh tội được.",0
nên làm dây có đinh đâm thủng lốp xe quăng ra kéo vào sẽ không gây nguy hiểm cho người làm nhiệm vụ,0
<person> cạn lời luôn với lực lượng vô học này.,1
rồi 2 đứa đi ăn cỏ đi thua loài thú vât. con thú nó còn biêt giống đưc cái để lấy nhau,2
"<person> sao? sai có nhận lỗi rồi này, tiktok cơ lắc đuýt đã ghen tị lại còn đóng vai nạn nhân, bản thân cũng sai chính tả ""this feels"" mà bóc lỗi người ta là sao. fan tiktok cơ lắc đuýt pick me girl chỉ có vậy hả? à mà ""phamn"", ""người ta"" là gì? <person> có à? thôi thì idol pick me girl nên fan sai nốt? bạn kêu ai xúc phạm? lo nhìn lại comment mình kìa, con người sao lại dùng từ cắn? nói mà không biết nhục. (đuýt ở đây là đít nhé, tôi rào trước để bạn khỏi ""cắn"")",1
<person> mày bằng tuổi con tao đấy nhé bố mẹ mày không dạy cách ăn nói à hả địt mẹ mày biết cái đầu buồi gì mà nói hả mắt mũi còn hôi sữa mẹ dạy đời ai hả,2
"hai thằng khốn nạn, mí con mụ mặc áo đỏ kia, mày mặc áo đỏ sao vàng việt nam mà mày mất giậy khốn nạn như thế này ư, chúng mày nổi tiếng rồi nhé",1
mong cho lớp thanh thiếu niên này sớm bay hết khỏi xa thôi la vui nhất . bởi vì cơ quan chức năng không còn trách nhiệm xã hội . nên mong trời sớm từ duy lũ này là hay nhất !,2
chết sớm đi cho xã hội yên bình,2
"chỉ chờ có cái để mà viết thôi, cái méo gì cũng soi người ta ra được, làm được như người ta hẵng nói",0
"<user> làm gì có ai thích nghèo đói nhưng vui? vì đặc điểm địa lý mỗi nơi mỗi khác, điều kiện vât chất khác nhau, giờ miền nam mà không có đồng bằng thì cũng khác gì mấy vùng còn lại? nói chuyện như bạn thì cứ đưa mấy vùng nghèo về thời đồ đá để mấy tỉnh giàu phát triển à?",0
<person> thế nào ca cũng tới nhà để giải quyết trận đấu kiếm nhật,0
"<person> quả báo không chừa ai, chồng mình cũng vũ phu ghen tuông mù quáng nữa mệt mỏi lắm",0
mong đẻ được thằng con trai để nó nối dõi tông đường mà cuối cùng thì .,0
nó đi để nó đi hèn vừa thôi,0
vậy mà vẫn còn coi thường pháp luật,0
quá nhiều vấn đề ở đây,0
chết tại mồm,0
tôi là người bắc những tôi phản đối với những lời phát ngôn bừa bãi của thằng này pháp luật phải xử thật nghiêm làm gương cho những kẻ phản.,0
địt mẹ mới nhú đã đồi ăn kể này . nó mà làm lớn thì còn kể nào nữa,1
sao 2 thằng này nó không chết luôn nhỉ?,2
 <person> hóng,0
​ <user> phân biệt vùng miền thì auto là cali con nhé,2
chán đéo thể nhìn nổi luôn,1
thật sự tao theo dõi mày rất lâu rồi tuấn ạ trước giờ tao là fan của mày và video nào của mày tao cũng xem nhưng hôm nay mày bình luận tao thấy xúc phạm fan của mày luôn ấy . tao biết mày không đọc bình luận này như hi vọng anh em like cho tao 1 lần để ông tuấn đọc được . còn video này mày suy luận không logic không thuyết phục mặc dù vẩn xem video vì thấy nhiều cái hay nhưng cái này xin phép chê nhé địt con mẹ tuấn ạ xem 2 thằng đấu kiếm,1
không chấp nhận lời xin lỗi nó xúc phạm quá nghiệt ngã,1
vẫn có rất nhiều người tử tế,0
lời xin lỗi muộn màng nhưng có còn hơn không,0
vãi lồn,1
sao cái nết lạ vậy trời. người ta làm gì cũng soi mói,0
"<person> ngậm cái mồm lại , bớt ngụy biện đi , ngoại tình là ngoại tình , li vậy rồi muốn làm gì làm , chứ ngoài tình thì chỉ có vứt",1
<person> thấy hai thằng này làm mất đi giá trị của người đàn ông nhìn ghớm quá,1
mày cũng như thế mà,0
ý thức cao,0
mình cũng người mày bắc nhưng không chấp nhận lời xin lỗi của thằng này cho vào tù,0
không chấp nhận? đề nghị loại trừ khỏi xã hội,0
không chết à,2
làm youtube là có xiền mà . có tiếng mà không biết sử dụng đúng cách,0
bệnh hoạn,2
<person> xem đi,0
giờ thời thế tạo được vô tù cha mẹ ở nhà đâu biết con mình nó quậy banh xác luôn,0
"có người giúp đỡ là tốt rồi , trong hoàn cảnh khó khăn này ai giúp được người khác đều nên trân trọng.",0
"<person> thì tôi cũng nói mà bởi vậy đừng nói pn biết vun vén mà họ không đi , cũng như thằng đàn ông nó ngoại tình nhưng lại không muốn ly vậy vậy đó còn đàn bà trước khi muốn ngoại tình hãy suy nghĩ đàn ông ngoại tình thì sẽ có người bênh còn pn ngoại tình chỉ có bị chửi lăng loàn , bại hoại , rất nhiều từ để sĩ nhục pn",2
xin mày đấy ,0
sao nó lag lag vậy,0
các bạn cứ hay nói đàn ông thế nào vợ mới như vậy nhưng phải dứt khoát chứ trốn chồng đi như này nó chém lại nói anh này còn hiền đó,2
<person> con người có 3 giới tính mong bạn hãy tôn trọng họ tuy họ là những người không giống chúng ít ra họ cũng là người tuyệt vời sống thật với bản thân và xã hội gia đình của họ đã chấp sao bạn lại khăn với họ như vậy chứ,0
<person> à tôi cứ tưởng nói về chiếc oto. cứ lo nhìn oto,0
ngậm cái mỏ mày đi muộn rồi con ơi vô nhà tù miền nam mà hưởng thụ .,1
bọn nhố nhăng mất dạy coi thường khán giả,1
già đầu rồi còn ngủ hai thứ tóc rồi,0
"có cách an toàn hơn, nguy hiểm quá",0
cái con mẹ mặc áo đỏ sao vành sao không ai nhắc đến nó,1
đứa nào cũng có con dù trai hay gái chưa nói trước điều gì . hãy dử cái khẩu nghiệp của mình để sau này hối hận,0
thấy đội cái mũ là biết cái ý thức ở đâu rồi . làm sai thì ráng mà chịu thôi,0
nếu không thấy video thứ 5 thì tự hiểu,0
<person> chìa đó là chìa sao y bản chính chứ không phải dùng chìa khác mà vẫn mở được hiểu không,0
căm phẫn những loại người mà không phải là người này,0
"giờ cho tử hình luôn thì quá nhẹ, hãy cho sống không bằng chết",2
ở đâu tao không biết chứ ở việt nam như vậy chỉ tội bố mẹ chúng nó khổ,0
nhạc như lồn luôn lại còn phải load mấy tiếng mới vào được video,1
<person> chán thật sự luôn.,0
"vô con mẹ mày à, không thấy up video, livestream rầm rộ à? ngu nó vừa thôi",2
mầy to lắm mà,0
quá muộn rồi,0
"xe chạy rất là nhanh, một số bạn thế hệ trẻ thích thể hiện cái tôi lớn lao của mình, làm khổ gia đình và người khác",0
"đúng là vô văn hóa , ăn ở bẩn thỉu",1
rồi làm ăn kiểu gì hả,0
ông này thông minh chứ chỉ cần đứng đấy quăn là rác chạy đến bảy rác,1
nợ người hoạ ý ấy 1 lời xin lỗi à,0
sống trên đời 33 năm chưa từng thấy 1 người mẹ nào như vậy.,0
"<person> chắc chúng nó chưa bao giờ được dạy ""ăn quả nhớ kẻ trồng cây""",0
hôm trước nghe nói ngon lắm mạnh mẽ mà sao giờ xin lỗi. mọi người có tha thứ không mọi người.,0
"tôi đồng ý với bạn, hôm nọ có sự kiện âm nhạc gì kỷ niệm 2/9 bên vtv, có cảnh kiss cam, quay cảnh hai người khác giới hôn thì không sao, nhưng khi quay đến cảnh 2 bạn nam hôn nhau thì mọi người lại hú hét cuồng nhiệt hơn như kiểu bị cắt tiết. sau khi tôi xem được đoạn video đấy xong, tôi kiểu ""có cần phải hú như thế không? tại sao lại phải thần thánh hóa nó hơn để làm gì?, đéo hiểu""",1
cái loại đàn bà lăng loạn! vụt rác,1
ý là chỉ có dân miền bắc mới nấu và bán chứ miền nam họ chỉ cần là quán phở và cách nấu cũng khác,0
biết trước thế này thì đừng có nói những lời không nên nói giờ thì quá muộn rồi em nhé đi học lại cách làm người không nên phân biệt giàu nghèo và nhất là vùng miền em nhé,0
thế mà không chết nhỉ,2
sao không lên cao tốc mà chạy,0
còn hơn không làm gì,0
tôi ghét bắc kỳ Bắc Nam  một nhà,2
"<person> hà nội của bạn đây, đến mình lên suốt còn sợ",2
mấy nói được giờ xin lổi ai,0
mong pháp luật khoan hồng cho con quỷ này mỗi ngày. chứ tử hình thì nhẹ nhàng cho nó quá,2
còn đeo băng đội trưởng kìa,0
giấy adn đâu,0
đúng hiền tài là nguyên khí của quốc gia đây rồi.,0
đền vài tỷ cho đi tù chết mẹ mày,2
nói chung làm gì kệ miễn giúp đỡ được rồi,0
nếu một ngày quỳnh bei không xuất hiện trên tiktok hay facebook chắc có lẽ tôi sẽ buồn lắm …. buồn cái lồn trâu,1
miền nam tao ăn hết của bố nhà mầy hả đồ ốc chó,2
thằng óc chó,1
"bọn thần kinh hết rồi, về chúng nó bú buồi cho nhau",2
không có thể chấp nhận được lời xin lỗi này phải xử án cao nhất rồi,0
2 thằng chán sống rồi,2
không chung chăn chung gối sao biết được đừng đánh giá họ qua một video nó nhiều khía cạnh lắm.,0
​<user> nói vậy chứ ra đường tìm bố thì mệt em không biết bố anh là ai đâu,0
mv bom tấn đúng nghĩa luôn,0
"đứa nào làm chồng, rồi đứa nào đẻ đây.",2
nói thật chứ nếu không chặn giữa đồ xe nó để phang nó thì đâu đến nỗi công an cũng sai không thể trách 1 mình 2 tên kia mặc dù cái sai của chúng là không thể phủ nhận,0
thằng này qua nó đóng như này từ hoài đức lên xong lại vòng về tvb,0
làm cặc phải xin nó mày không có bản lĩnh à cho nó cút khỏi cuộc đời của mày và viết 1 trang mới,1
"<person> chuẩn, ở đâu cũng có người này người kia, nhưng bắc kỳ là cái gì đó không thay đổi",2
<person> hải phòng ngày mất em,0
nghĩ mà xót xa cho các bác cựu chiến binh,0
như vậy mà cũng làm được.,0
bữa nay khó hiểu thật cái gì mà cầu hôn rồi về choi kiểu gì đây,0
cho nó đi tù lâu cho nó mất thanh xuân cho nó đau khổ trong tù vài năm chứ bắn bỏ thì nó dễ quá,2
giờ việt nam sao toàn còn nít lỏ không vậy,1
loạn não,1
mẹ gia mất net,1
địt mẹ cho không tao cũng không thèm. toàn bọn ngu,1
mẹ loại vô học,1
khổ tao đến giờ không biết 2 thằng này là đứa nào,0
<person> luôn đi,0
hải phòng ngày mất xác,2
"mình không biết trong gia đình, cuộc sống của họ, nên mình không khoán xét, mỗi cây mỗi cành, mỗi quê mỗi cảnh, ₫ôi khi cuộc sống vợ chồng, có rất nhiều lí do, mà người vợ, hây người chồng, quá vô tâm nên khi đối phương gặp người thật sự thương quan tâm, lo lắng, chia sẻ, thì đối phương sẽ xa ngã, có chồng nghèo không đáng sợ, mà sợ gặp thằng chồng vô tâm,",0
ôi đàn bà,2
"<person> cá nhân khác không nói đây bình luận trong bài quỳnh bei thì tôi nói trong phạm vì bà này thôi nhé, là bú fame rõ mà luận điểm thì không rõ ràng, sợ bản thân bị công kích nhưng mà lại đi công kích người khác ? xong còn đi phán “<person> tiếng anh độc hại “ trong khi bản thân cũng học ngành ngôn ngữ anh. và cái cho là góp ý đấy cho 1 người thầy thì vào ngày 20/11 có phù hợp không ? nên đừng có vô bài này kêu là huy con này kia nữa. vì cái bà này bả cũng chẳng đúng đắn gì đâu.",0
rap như đang ngậm chim trong họng xin đừng thêm con lợn vào,2
nó địt sướng hơn làm tình sướng hơn thì nó trả không về đàn bà nó là vậy đấy,2
ăn cả serie,0
"vẫn là xử lứ như mấy vụ thông chốt gây thương tích khác thôi, luật có khung có quy định hết rồi.",0
cố ý giết người tăng này các cháu đi dài rồi,2
"<user> uầy và bạn đương nhiên cho rằng phần lớn người bắc là keo kiệt ích kỉ thích trộm cắp, bạn biết những người này cũng thuộc dạng không ai thích ở bắc không, mấy đứa giang hồ bố đời bị ghét kinh lắm, ăn trộm thì có mà bị đánh tập thể, tôi biết là bạn chưa ra bắc nên mới có suy nghĩ đó mong bạn hiểu miền bắc không như bạn tưởng tượng ạ và mình gặp rất nhiều người phóng khoáng, cũng gặp những người ăn chơi gia tài bạc tỉ chả còn cái gì, bạn vẫn đương nhiên cho rằng tất cả người miền bắc giống nhau sao",0
chúc mừng hạnh phúc,0
vào trại mà nằm cho yên bây giờ nói có vẻ hiền từ thế hôm trước nói mạnh lắm thế,0
tôi không biết đầu đuôi câu chuyện như nào nhưng tôi cảm giác vợ thà bị đánh chết còn hơn là không chịu về à. nếu vợ ngoại tình có khi cũng do từ phía chồng không biết quan tâm nên vợ cũng muốn tìm người khác yêu thương mình.,0
hai con tinh trùng khuyết tật,2
bọn óc chí thật,1
<person> được để chết giống bọn nó à.,0
<person> bạn lại dẫn các em đi bậy,0
bắc kỳ lối sống rừng rú,2
mấy chó này làm ngập này,1
"chặt 3 khúc, cho vào thùng xốp rồi cho ra sông mê kong",2
"trời, cái loại ngoại tình thì bỏ thôi tiếc gì không biết",0
mua 2 miếng xoài với mấy miếng mận ở phố đi bộ 100k này,0
viết lời như đấm vào tiếng việt,0
dân miền nam không nhận lời xin lỗi của mày nhé. vì dân miền nam vẫn chưa biết bố mày là ai .,2
"nhiều người đâu mà nhiều, chửi cả miền nam kia mà",0
nữ sinh đi xe sh.,0
2 em với xe có bị gì không vậy,0
mv này tầm 120gb không mọi người,0
"những thành phần này nên cho nó dựa cột, kịch khung phạt, phá nát cả tương lai của người ta",2
"người ném rác, người quay phim, người cười cười nói nói, đúng là cả lũ vô ý thức.",1
cho vào bóc lịch là ngoan ngay,0
chắc không được học lịch sử,0
<person> là dân bọ không nhận ra à thằng nam cẩu đần độn,1
lời xin lỗi muộn rồi con,0
"đúng mấy thằng ăn cháo đá bát, suốt ngày chửi miền bắc trong khi quên rằng những người lính miền bắc đã giúp giải thống đất nước, chỉ vì dân miền nam bị git rất nhiều nên sinh ra tư tưởng ghét miền bắc",2
mày chửi cho đã rồi bị mấy anh công an hỏi thăm rồi làm bộ nhỏ giọng nếu không bị vịnh liệu mày có xin lỗi không,0
<person><person> đi dong mv body shaming,0
