input_text,label
"thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> đúng là cái thứ mất dạy và vô ý thức thật sự, ai là vợ con của thằng già này thì về dạy nó lại nhé, cảm ơn.",1
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> xin video bạn này chửi rủa dân mọi người với mọi người",0
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> tỉ lệ sida của bọn quan hệ đồng giới nam là rất lớn!",2
" </s> ​ mày ngu đến nỗi bấm chữ còn không xong "" lấy công an việc làm người ta "" là cái gì ? mày hùa theo mấy kênh 3/ que là giỏi chứ mày có hiểu miẹ gì đâu , ngu đến nỗi thuật lại cũng không xong !!",1
"official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> béo là béo chubby cái lồn, đánh tráo khái niệm vợ chồng",1
 </s> mấy con báo bênh nhau mà chuyến này nhà nước làm căng dẹp hết bọn độ xe là đẹp nhìn rác rưởi vãi cả lồn chả ra hệ thống gì,1
"cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> hjx không cần biết ai đúng ai sai, đừng đổ lỗi tại ai như thế nào, nhưng đã ngoại tình thì sai hoàn toàn rồi",0
"boy phố ""gãy cánh"" ngay trước mặt </s> sao chúng mày không chết hết đi sống làm kho người khác",2
"vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> nó mượn người ở chợ vào làm mẹ thôi, chứ mẹ nó không dự.",2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> úi chời qáu xim lỗi gì",0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> địt mẹ con anh em miền nam cho nó câm luôn dùm nhé anh em ơi",1
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> xử thật nghiẻm không thể tha thứ",0
boy phố mới nhú hay sao mà mặt ông cháu nào cũng non choẹt vậy? </s> nói thằng kia,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> bố tổ,2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> vô trại nằm đi con, chửi cho đã rồi xin lổi",0
"vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm. </s> nên cấm lưu thông trong nội thành, đêm nào cũng rú mất cả ngủ",0
"mới đây, mạng xã hội lan truyền clip 1 nhóm bạn trẻ người sài gòn ra hà nội chơi, buổi tối cả nhóm ra phố đi bộ <person> thăm quan và có tạt qua 1 hàng vỉa hè cạnh hồ để uống </s> sao cô khó chịu vậy ta",0
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> hết thuốc chữa,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> ủa đâu phải chỉ có 1cái chìa khóa duy nhất đâu b. nếu b thích đánh ra hàng trăm cái chìa khoá được mà.,0
boy phố mới nhú hay sao mà mặt ông cháu nào cũng non choẹt vậy? </s> em ngầu thật,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> nếu công an không làm việc cậu có lên tiếng xin lỗi không, lời xin lỗi này có thực tâm không. thôi đã qua, mong cậu đừng lặp lại thái độ đó nữa",0
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> tới còn gặp nhau giao lưu nhảy đực nữa bro",2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> mày xin lỗi rồi chứng nào tật nấy",0
"boy phố ""gãy cánh"" ngay trước mặt </s> lũ này cứ cho tất cả chúng đi nuôi cỏ hết.",2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> lúc chửi mồm nó ngoác ra, giờ như cún vậy , xin lỗi kg phải là xong nhé con, có làm có chịu nhé",0
awai x <user> - body shaming ? (ft. <person>) | visualizer mv </s> đã visualizer còn mv ?,0
<person> gì ? </s> thật ra thì không phải vì một vết bẩn trên áo mà nói cái áo đó bị bẩn hết được,0
<person> gì ? </s> bọn phản quốc và tik tok là hai thứ cặn bã nghiêm trọng cần loại bỏ khỏi xã hội,2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> thay ăn nói mất day",0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> hối bất cập , cứ ngậm miệng cho chặt vào thì tốt hơn xin với sỏ",0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> ở mấy nước arap là bắn bỏ rồi,2
"boy phố ""gãy cánh"" ngay trước mặt </s> có thật không, có sổ hồng không?",0
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> loại này và loại tội phạm tham nhũng nữa,0
"2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> ngay thủ đô, ngay đại lễ mà còn vậy, phải công nhận việtôi nam mình lỳ đòn, cả thế giới phải nể",0
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> địt mẹ toàn bọn ngu , gặp nó để làm gì , chỉ để nó đánh dắm thối hoắc cho ngửi xong về cho, thơm mồm , bổ phổi , nặng mùi hôi nách à. sai ở cái thằng quản trị viên ngửi dắm nó lên nói dân mạng vô học , khi mình cũng chỉ nói phét chính mình cũng chửi người ta vô học , mà mày không cho người ta chửi bọn ngu trả 2,8t đi xem cái kệch cỡm của 2 con chim ku . mày cũng ngu nốt.",2
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> ý thức gần bằng con chó lục thùng rác,1
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> cao cả cái đb, thằng mõm tuấn lúc đ nào cũng tát nước theo mưa",2
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> chuyện binh thường o việt nam mà,0
"mới đây, mạng xã hội lan truyền clip 1 nhóm bạn trẻ người sài gòn ra hà nội chơi, buổi tối cả nhóm ra phố đi bộ <person> thăm quan và có tạt qua 1 hàng vỉa hè cạnh hồ để uống </s> tưởng phố đi bộ trong nam với hồ ngoài bắc là đều có chẹp chắt như nhau, cần gì mọi người trong bình luận ganh đua coi ai vị trí on top nhỉ",0
"1 đoạn video đang lan truyền trên threads quay lại cảnh người nào đó đã chạy tốc độ cực cao hơn 100 km/giờ trong khu vực nội thành đã thế xe không gương, vượt ẩu, chạy vào làn ô tô nữa. </s> mình cũng toàn phóng 3 con số trên giờ nên không phán xét gì được . nhưng địt mẹ ông cháu phóng thì kiếm đường nào phóng mà phóng phải dùng đôi mắt chứ không phải cúi đầu xuống mà phóng",1
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> lần này thì mọt gông,0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> nín… nộp phạt,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> tao là thằng miền nam này",0
awai x <user> - body shaming ? (ft. <person>) | visualizer mv </s> tôi đang dùng astral rtx 5090 super mà không load được cả mv mà,0
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> rất tiếc fan của 2 tên này toàn là nữ, đám fan đấy mà cũng học theo đồng tính thì toi",2
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> đmcổ xúi tuyên truyền mấy thằng lgbt.",2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> tôi là người miền trung. nhưng mong mọi người bắc. trungnam không thể chấp nhận lời xin lỗi của thằng này vì nó đã làm ảnh hưởng tai tiếng với người miền bắc làm mất quan điểm phân biệt vùng miền vậy mong mọi người không khoan nhượng với loại người này mong pháp luật xử lý nghiêm với đối tượng ngào đá này.",0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> chửi người ta thì giỏi lắm mà đi tù 20 năm rồi về con nhé",0
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> những phần tử nên cho đăng xuất cho sạch xh,0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> vô ý thức quá bác ơi.,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> bạn ơi đừng đổ lổi cho đi làm công ty là ngoại tình bạn ơi không phải ai làm công ty cũng ngoại tình nhé,0
"boy phố ""gãy cánh"" ngay trước mặt </s> bọn này làm chết oan bao người với kiểu đi như vậy",2
 </s> mọi người lại phải làm người việt nam còn mày kiếp sau được đầu thai làm chó bên tây rồi cố lên nhé,2
"boy phố ""gãy cánh"" ngay trước mặt </s> bọn này phải sử tù",2
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> nên đuổi 2 cá thể động vật ra ngoài xã hội.,0
"<person> gì ? </s> thế mục đích họ spam để gây khó chịu đúng không tôi vẫn né mà bạn, ông nào dùng từ xúc phạm quá tôi mới nói, tôi cũng không dùng từ nam kỳ bạn ơi",0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> không ngờ có người vì fami mà bất chấp tới vậy luôn,0
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> rồi xuân này con không về chắc hơi lâu,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> lăn loàn thì gặp ai nó cũng hứng nên bạn àcảm thấy không hp thì li hôn rồi muốn làm gì làm. này đi ngoại tình thì không có lí do gì bào chữa cả,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> người ta tài trợ từ thiện mầy không biết ơn mà còn chửi bộ người miền nam ăn hết của mầy hả",0
"boy phố ""gãy cánh"" ngay trước mặt </s> sao mày đéo chết luôn đi",2
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> phạt mạnh tay cái loại vô ý thức !,1
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> thằng này nó phải cho nó vào tù gấp",0
"mới đây, mạng xã hội lan truyền clip 1 nhóm bạn trẻ người sài gòn ra hà nội chơi, buổi tối cả nhóm ra phố đi bộ <person> thăm quan và có tạt qua 1 hàng vỉa hè cạnh hồ để uống </s> ra bờ hồ chả mắc nhà hà nội đây trước ra uống cũng thế thôi",0
"dấu chấm hết cho tiktoker ""đớp"" 40 triệu tiền từ thiện </s> phải tôi tôi cũng đếp. mà tôi đếp 80tr luôn chứ không phải 40",0
"cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> trường hợp như này thì nhiều, tôi hiểu ý bạn , cảm thấy không ở được thì giải quyết bình đẳng tự do rồi làm gì làm chứ vẫn là vợ chồng thì không lên cặp người này người kia không coi ai ra gì thế đâu có được bởi vậy gặp người bình tĩnh không sao mất bình tĩnh thì lúc đấy đau lòng người ở lại haizz.",0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> nước mắt em rơi trò chơi kết thúc,0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> cmay nghe và khen,0
<person> gì ? </s> mình không dùng tiktok nhưng mà nghe những điều xấu trên tiktok cũng ngán lắm rồi. cảm thấy việc không dùng tiktok là sự lựa chọn sáng suốt,0
"2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> chính phủ cần đưa ra chế tài nặng đối với hành vì vì phạm luật giao thông, nhất là các báo thủ không chỉ phạt kinh tế mà còn phải truy cứu hình sự đối với phụ huynh cho con xử dụng xe máy.",0
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> mât day,0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> phạt nặng vào,0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> ý thức kém như thùng rác,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> hoa thì đã là xã hội thì chuyện gì cũng có thể sai ra hết mọi việc điều tuy duyên thôi không ai có thể thay đổi được vì đó là xu mệnh của mỗi người,0
"xem xét kỷ luật sinh viên có hành vì vô lễ, thiếu tôn trọng đối với cựu chiến binh tại lễ kỷ niệm 30/4 <person> học <person> đang xác minh đỉ xử lý sinh viên vô lễ với hai người </s> cô chú ac nào có thông tin địa chỉ hay sdt của 2 bác ccb trên cho mày xin với ạ. 2 bác cùng đơn vị với bác ruot mày đã hy sinh mà chưa tìm được phần mộ. mày cảm ơn",0
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> hai thằng này học xong xin việc làm vào chỗ nào nhận thì nơi đó có tội với người dân,0
"nửa đêm, thiên an bất ngờ công khai full tin nhắn làm giấy khai sinh, lần đầu đáp trả về buổi họp báo 2 tiếng ‼ </s> sao lại toàn "" hôm qua"" với "" hôm kia"" lưu manh vãi cả đái",1
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> nhìn cái xe tháo hết gương là giàu rồi,0
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> kệ đi bây tôi cũng không thích ả ta mà ả ta cũng giúp người nên tôi kệ tôi thấy tôi lướt qua",0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> ngườ nguyên thủy,0
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> yêu nhau thì kệ chúng nó nhưng đừng có nống nó nên. nay mai ra đường thấy nhiều thằng ôm hôn nhau thì tởm lắm",2
<person> gì ? </s> anh em gì ở đây . con mẹ mày,1
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> chuẩn không giúp thì mình im lặngđể ai giúp được họ giúpmấy người hay soi mói đa số không làm",0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> để xe lại đi về nhàbản lĩnh lênsợ thì ở nhà,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> tôi là người miền bắc cho mấy thằng này mấy năm đi cải tạo cho làm người",0
"cảm ơn em đã biến giấc mơ của anh thành hiện thực, giấc mơ mãi có em trong đời hôn đồng tính </s> còm dạo ghét của nào trời trao của đó, sau này bạn có con như vậy, bạn cũng hãnh diện hơn họ.",0
"1 đoạn video đang lan truyền trên threads quay lại cảnh người nào đó đã chạy tốc độ cực cao hơn 100 km/giờ trong khu vực nội thành đã thế xe không gương, vượt ẩu, chạy vào làn ô tô nữa. </s> 99 missed calls from",0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> she eat the mv bro,0
"con út 3 tuổi mất để lại 2 tỷ bảo hiểm, ty na cầm tiền đi biệt. sau 2 năm ty na trở về đón các con ở chung thì được 1 tuần người con thứ 3 (7 tuổi) cũng tử vong <per@@ </s> cái con mạt kiếp tô thị - ty nứng này! tôi nguyền rủa mày mỗi đêm đều nằm mơ bị hàng trăm con quỷ đói tróc da tróc thịt trước lúc bị tử hình!",2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> có đi lên phường mới xin lỗi bà con miền nam không lên phường chắc còn tinh vì nữa",0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> đéo gì vậy mẹ,1
"cặp đôi ninh - dương gây sốt khi bán 2,8tr/vé cho fan meeting. </s> mày mang mấy thằng lỗi gen mấy thằng biến thái , mấy thằng đi ngược lại với tự nhiên để so với , chơi gà , câu cá , những thứ đó ông bà ta đã chơi tiếp cận cả vài trăm năm , giờ mày mang nó ra so sánh , con mày sau này bị vậy chắc mày tự hào lắm",2
"1 đoạn video đang lan truyền trên threads quay lại cảnh người nào đó đã chạy tốc độ cực cao hơn 100 km/giờ trong khu vực nội thành đã thế xe không gương, vượt ẩu, chạy vào làn ô tô nữa. </s> không dám nhận đồng hương",0
"cảm ơn em đã biến giấc mơ của anh thành hiện thực, giấc mơ mãi có em trong đời hôn đồng tính </s> ủa sự thật hơi khó nghe",0
"thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> đã già rồi mà còn không có ý thức, rất mong cơ quan chức năng vào cuộc phạt thật nặng tay",0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> ngày thường vượt đèn quen rồi,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> ô vậy chém chép ở chỗ nào nhỉ,0
2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> thằng áo đen tướng này sống chỉ gây nguy hại cho xh,2
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> thì làm tự thiện phải ghi hình lại để cho cả nước biết vùng đó như thế nào để cho người ta mới biết, để cho các nhà tự thiện các vùng chung tay góp thêm sức chứ",0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> khóc khóc cái lòi. mắt để ngửi à,0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> võ công ngang nhau dể xử lý,0
 </s> trừ khi nhà cơ to chứ không xác định đi dài dài nhé,0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> chịu bận áo vú rồi kìa,0
hai thanh niên đại học là lối chửi bới cựu chiến binh </s> thằng ca đứng gần đó sao không có động thái gì,0
"nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> ý thức con người, không phải có 1 ngày là được . cần có thời gian để họ tập theo thói quen tự kiềm chế kiểm soát hàng động. đó là tính nhân văn con người",0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> thôi nao đâu nặng đến thế trà bông,0
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> không chấp nhận được",0
"mới đây, mạng xã hội lan truyền clip 1 nhóm bạn trẻ người sài gòn ra hà nội chơi, buổi tối cả nhóm ra phố đi bộ <person> thăm quan và có tạt qua 1 hàng vỉa hè cạnh hồ để uống </s> ngàn năm văn hiến nên giá cả chi phí nó vậy",0
"boy phố ""gãy cánh"" ngay trước mặt </s> quân đi xe kiểu này sao trời không sét đánh chết hết đi cho xã hội lành mạnh",2
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> chính thức bỏ fl kênh này , thấy suốt ngày đăng mấy tin soi mói người khác !",0
 </s> lên vtv rồi. đang truy tố với tội đánh “gi…tôi người”,0
"mới đây, mạng xã hội lan truyền clip 1 nhóm bạn trẻ người sài gòn ra hà nội chơi, buổi tối cả nhóm ra phố đi bộ <person> thăm quan và có tạt qua 1 hàng vỉa hè cạnh hồ để uống </s> quen không",0
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> làm được như người ta đi rồi soi cựa là soi",0
" </s> chia ra 2 bên theo 2 hệ tư tưởng khác nhau cũng là dân tộc việt thôi. vẫn toàn vẹn lãnh thổ chứ có ai xâm chiếm đâu. nhìn sang với hq cũng dan tộc họ trên mãnh đất đó trên bản đồ có phải của ai đâu. chia 2 mạnh ai nấy sống, đỡ sa cạ, 1 bên bảo thủ thích sự nghèo đói nhưng vậy là vui, còn 1 bên thích sự văn minh phát triển tạo ra nhiều của cải. cho 1 thờ gian có hạn để ai thích theo bên nào thì để dân họ tự do qua lại tự chọn bên. quá hợp lý.",0
"<person> đi từ thiện như mở megalive, làm gì cũng nói lớn sợ mic không thu tiếng </s> bả có livestream cũng được , miễn bả cứu trợ cho đồng bào minh là ok , còn chung ta ngồi đây soi mói có giúp được ai không?",0
"2 báo thủ thông chốt làm 1 chiến sĩ cscđ chấn thương sọ não </s> công tác an ninh quá kém. lưới, rào chắn , xe, vật cản đâu không có. mang người ra cản",0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> hẹn nhát,0
official poster | visualizer mv body shaming ?- awai x win gì x <person> 15/08/2025 - 200 bàn về miệt thị ngoại hình <person> (miệt thị ngoại hình) là một </s> tôi sẽ đợi bài hát khác”),0
vậy là chúng ta đã kết thúc chuỗi ngày tự do yêu nhau chuyển sang cuộc sống hôn nhân hôn đồng tính </s> chuc 2 chau hanh fuc muon doi,2
"phân biệt vùng miền, miệt thị người dân vùng lũ. <person> lên tiếng xin lỗi nhưng . quá muộn! </s> cu nói bậy rồi lại xin lỗi phải cho con vào trại rồi xin lỗi con nhé",0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> ý thức kém quá .,0
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> thằng đàn ôg mà đéo ra gì thì nó bụp luôn tại chỗ chứ ở đó mà nói chuyện . tôi phụ nữ mà còn bực mình dùm anh chồng . đàn ôg hay phụ nữ đã ngoại tình thì vức luôn,1
cay đắng cảnh anh chồng bắt quả tang vợ lén lút ngoại tình. mặc cho quỳ gối van xin hết lời nhưng chị vợ nhất quyết không về </s> đồng cảm với người ngoại tình thì sẽ tạo thêm nhiều kẻ ngoại tình,0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> cỡ đó mới vô nề nếp chứ giao thông hà nội lâu nay cứ như khu tự trị !,0
thật đáng lên án hành động vứt rác bừa bãi của một chủ quán ở dĩ an. </s> đúng là thực hiện nếp sống văn minh,0
nữ sinh bật khóc khi lực lượng cảnh sát giao thông thông báo mức phạt với lỗi vượt đèn đỏ là 5 triệu đồng và trừ 4 điểm giấy phép lái xe. </s> ý thức của người tham gia giao thông,0
vụ xe phân khối lớn đâm vào đôi bạn trẻ trên phố <person> video hành trình ghi lại cảnh chiếc bmw phóng vơi tốc độ kinh hoàng‼ nghe tiếng người bạn trai ôm bạn gái bị đứt lìa chân khóc thảm. </s> khổ thân xe wave,0
